Assets and Liabilities of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
    Goodwill,"22,917","23,575","24,309","24,968","25,674","26,941","27,141","27,133","28,651","29,042","29,089","28,841","28,715","30,084","30,114","30,113","29,671","30,051","28,929","27,408","22,463","22,035","20,782","18,774","17,379","17,272","17,117","16,175","15,609","14,608","14,221","13,563","12,347","12,891","12,850","12,820","12,836","13,076","12,821","13,615","13,541","14,903","16,234","17,348","19,602","20,007","21,033","21,713","23,586","29,857","30,392","31,328","40,035","42,299","43,753","45,483","49,709","53,660","54,999","55,538","56,626","57,106","58,011","62,060","64,610","64,311","65,328","66,753","70,010","72,796","81,925","86,830","93,747","95,026","96,374","103,814","106,481","109,990","113,880","119,698","123,192","158,751","207,058","230,404","236,543","238,481","239,522","249,726","276,301","280,890","282,656","314,264","319,600","325,669","347,862","351,891","362,405","363,143","356,236","309,173","291,882","285,824","284,538","282,839","282,705","282,968","285,229","284,624","285,134","286,016","287,776","286,342","286,592","287,850","289,208","291,079","290,948","287,731","288,717","289,580","290,597","294,408","293,779","294,210","293,798","295,207","295,915","298,642","301,260","302,883","306,213","306,029","308,433","315,746","317,661","322,351","325,715","327,804","331,040","334,394","337,239","338,841","338,626","349,600","341,691","339,227","338,020","339,167","339,071","340,991","342,318","348,157","351,426","354,666","355,495","357,700","361,631","361,428","361,266","352,951","353,246","349,452"
  Other Assets,"100,066","109,916","116,392","119,957","124,285","131,703","132,680","137,946","145,634","150,271","151,470","145,868","159,563","160,862","165,511","157,532","162,109","166,133","170,782","177,476","168,968","176,340","177,201","172,634","179,383","179,402","181,190","167,271","174,718","167,099","169,105","157,820","153,622","150,089","159,531","142,457","155,897","160,080","168,111","156,155","166,795","162,029","160,404","160,619","170,068","174,538","170,298","163,129","175,555","184,469","178,272","174,920","172,940","177,597","186,552","190,872","201,167","218,627","221,736","227,127","237,574","252,291","253,617","259,463","283,261","293,599","303,822","311,899","352,189","351,342","419,126","401,528","374,368","388,907","405,898","415,543","415,108","458,759","494,058","428,556","431,552","432,115","448,023","440,960","460,694","458,745","465,943","473,076","494,909","511,511","564,861","537,119","526,655","539,520","597,764","590,124","645,780","627,138","693,885","759,416","739,093","749,764","756,684","787,973","779,808","782,885","780,197","764,293","774,545","774,368","777,474","751,109","732,364","735,453","732,396","722,560","708,063","736,215","712,089","705,891","713,965","714,480","724,668","710,025","729,633","740,555","738,531","734,488","752,850","780,177","773,052","774,269","776,393","779,262","772,723","752,906","761,855","772,123","793,461","769,544","789,329","806,745","794,163","779,099","905,774","839,517","826,706","846,579","890,316","906,634","933,178","928,784","1,052,892","1,089,032","1,108,475","1,109,945","1,156,981","1,135,146","1,175,692","1,152,843","1,198,102","1,195,210"
Total liabilities and capital,"3,373,965","3,479,612","3,520,867","3,653,117","3,666,443","3,758,082","3,853,631","3,993,319","4,022,326","4,106,575","4,158,118","4,327,560","4,301,272","4,353,708","4,407,104","4,502,056","4,540,890","4,611,829","4,692,090","4,758,965","4,698,928","4,740,289","4,718,377","4,736,409","4,670,808","4,686,705","4,691,535","4,656,548","4,568,364","4,545,210","4,573,604","4,550,192","4,541,414","4,522,169","4,535,690","4,541,325","4,528,140","4,577,983","4,641,711","4,711,354","4,843,916","4,895,162","4,932,364","5,022,361","5,132,798","5,190,621","5,256,475","5,340,963","5,327,522","5,422,841","5,496,864","5,611,184","5,667,302","5,803,461","5,894,612","6,044,718","6,152,712","6,229,499","6,327,525","6,531,024","6,521,925","6,594,815","6,655,739","6,883,659","7,004,568","7,163,614","7,269,388","7,462,898","7,572,689","7,635,924","7,844,176","7,867,077","7,822,742","8,039,001","8,272,830","8,435,858","8,605,069","8,923,262","8,943,134","9,075,653","9,377,239","9,648,545","9,877,215","10,107,379","10,286,410","10,474,368","10,700,704","10,879,267","11,209,759","11,526,114","11,754,158","11,861,855","11,982,320","12,261,392","12,706,150","13,033,934","13,369,322","13,300,430","13,545,965","13,817,671","13,526,158","13,279,679","13,226,017","13,086,778","13,336,004","13,199,507","13,372,708","13,318,923","13,414,247","13,601,986","13,811,890","13,891,345","13,925,411","14,030,843","14,222,855","14,450,404","14,423,792","14,409,751","14,603,604","14,730,791","14,909,899","15,171,911","15,348,740","15,553,728","15,777,972","15,753,631","15,800,092","15,967,662","16,293,276","16,533,969","16,766,622","16,779,681","16,965,581","17,069,494","17,242,501","17,415,410","17,530,252","17,532,878","17,672,832","17,942,992","18,089,968","18,265,870","18,481,915","18,645,728","20,255,188","21,139,331","21,209,356","21,868,753","22,546,904","22,774,411","23,251,915","23,719,752","23,973,189","23,717,492","23,627,037","23,595,378","23,715,060","23,460,851","23,408,291","23,666,440","23,957,637","23,887,133"
  Deposits,"2,697,459","2,773,230","2,781,986","2,907,668","2,916,647","2,984,331","3,051,300","3,140,827","3,163,361","3,211,717","3,234,567","3,366,694","3,331,095","3,362,417","3,378,470","3,473,275","3,490,929","3,540,442","3,570,436","3,626,504","3,547,584","3,561,085","3,570,669","3,630,852","3,571,917","3,600,282","3,611,503","3,637,392","3,568,883","3,560,912","3,583,014","3,594,403","3,575,056","3,533,961","3,495,000","3,527,089","3,456,493","3,468,587","3,477,069","3,528,515","3,523,313","3,522,903","3,541,193","3,611,620","3,607,127","3,651,929","3,673,870","3,769,482","3,760,522","3,789,097","3,826,209","3,925,061","3,920,510","3,998,488","4,011,360","4,125,800","4,175,395","4,209,354","4,203,244","4,386,260","4,336,493","4,379,996","4,405,244","4,538,039","4,590,221","4,689,860","4,749,131","4,914,760","4,948,420","5,020,363","5,083,209","5,189,428","5,172,246","5,254,197","5,391,982","5,568,501","5,678,615","5,849,894","5,856,567","5,960,346","6,133,558","6,290,156","6,383,693","6,584,562","6,708,849","6,821,053","6,969,052","7,141,310","7,318,752","7,504,789","7,577,973","7,825,211","7,895,367","8,035,595","8,180,226","8,415,367","8,565,750","8,572,689","8,720,827","9,029,185","8,953,911","9,021,144","9,101,101","9,226,798","9,198,952","9,141,090","9,273,769","9,423,008","9,602,613","9,765,799","10,000,416","10,186,404","10,261,167","10,322,697","10,504,375","10,817,477","10,819,411","10,780,599","11,028,362","11,192,210","11,317,915","11,490,338","11,596,704","11,764,004","11,958,411","11,932,440","11,990,430","12,190,024","12,429,479","12,528,054","12,798,802","12,894,564","13,083,807","13,105,310","13,219,299","13,399,208","13,528,921","13,468,691","13,573,628","13,866,211","13,925,699","14,039,671","14,276,906","14,535,915","15,778,665","16,962,234","17,118,378","17,823,559","18,458,981","18,730,870","19,166,985","19,701,997","19,932,264","19,563,035","19,357,272","19,214,756","18,742,758","18,644,207","18,553,633","18,813,707","18,997,655","18,807,647"
    Foreign office deposits,"346,928","345,313","326,894","317,570","332,166","329,074","327,205","321,844","333,185","321,691","324,836","313,795","332,322","335,992","344,399","341,610","333,727","329,122","328,362","315,079","324,852","323,311","323,438","311,712","326,731","330,061","329,589","293,445","305,172","301,310","301,866","304,642","309,526","303,566","301,926","286,799","304,439","312,362","322,654","329,997","355,877","377,397","403,247","431,915","442,305","439,560","449,649","454,094","454,432","462,031","451,054","473,580","475,871","504,198","507,048","526,195","528,573","549,037","554,722","572,034","574,726","594,107","602,778","655,589","639,489","685,411","694,207","706,666","671,106","682,424","680,911","629,516","603,534","640,921","612,988","658,037","652,823","678,088","692,181","741,171","779,822","827,631","819,860","865,892","881,620","895,168","902,751","920,648","987,811","1,068,070","1,103,854","1,194,036","1,200,276","1,343,583","1,440,409","1,502,575","1,496,782","1,543,532","1,505,522","1,539,300","1,414,921","1,465,932","1,547,805","1,529,974","1,506,444","1,473,227","1,535,526","1,549,760","1,611,252","1,539,965","1,494,949","1,428,392","1,435,309","1,408,805","1,444,025","1,370,355","1,392,632","1,384,942","1,427,413","1,401,102","1,395,749","1,431,542","1,423,878","1,393,446","1,377,679","1,342,742","1,338,532","1,282,072","1,321,245","1,324,042","1,336,206","1,245,644","1,271,046","1,324,692","1,299,484","1,317,751","1,272,040","1,233,288","1,251,835","1,253,325","1,240,788","1,292,057","1,295,850","1,315,315","1,471,174","1,442,391","1,446,614","1,533,819","1,523,096","1,566,764","1,532,777","1,512,378","1,551,160","1,485,779","1,465,656","1,489,189","1,438,522","1,446,000","1,395,232","1,468,084","1,461,372","1,469,101"
    Domestic office deposits,"2,350,531","2,427,917","2,455,093","2,590,098","2,584,481","2,655,257","2,724,095","2,818,983","2,830,176","2,890,025","2,909,731","3,052,900","2,998,773","3,026,425","3,034,070","3,131,665","3,157,202","3,211,319","3,242,073","3,311,425","3,222,732","3,237,774","3,247,231","3,319,141","3,245,187","3,270,221","3,281,913","3,343,946","3,263,711","3,259,602","3,281,148","3,289,761","3,265,530","3,230,396","3,193,074","3,240,290","3,152,055","3,156,225","3,154,415","3,198,518","3,167,436","3,145,506","3,137,946","3,179,705","3,164,822","3,212,369","3,224,221","3,315,388","3,306,089","3,327,065","3,375,156","3,451,481","3,444,639","3,494,290","3,504,312","3,599,605","3,646,822","3,660,317","3,648,522","3,814,226","3,761,767","3,785,889","3,802,466","3,882,450","3,950,732","4,004,449","4,054,924","4,208,094","4,277,314","4,337,939","4,402,298","4,559,912","4,568,712","4,613,276","4,778,994","4,910,464","5,025,792","5,171,805","5,164,386","5,219,175","5,353,736","5,462,525","5,563,833","5,718,670","5,827,229","5,925,885","6,066,301","6,220,662","6,330,941","6,436,719","6,474,119","6,631,175","6,695,092","6,692,011","6,739,817","6,912,791","7,068,969","7,029,156","7,215,305","7,489,885","7,538,990","7,555,213","7,553,295","7,696,824","7,692,508","7,667,863","7,738,243","7,873,248","7,991,361","8,225,834","8,505,467","8,758,011","8,825,858","8,913,892","9,060,350","9,447,122","9,426,780","9,395,657","9,600,949","9,791,108","9,922,166","10,058,796","10,172,826","10,370,557","10,580,732","10,589,698","10,651,898","10,907,951","11,108,235","11,204,012","11,462,595","11,648,919","11,812,761","11,780,618","11,919,815","12,081,457","12,256,881","12,235,403","12,321,793","12,612,886","12,684,910","12,747,614","12,981,056","13,220,601","14,307,491","15,519,843","15,671,764","16,289,740","16,935,884","17,164,106","17,634,208","18,189,619","18,381,103","18,077,257","17,891,615","17,725,568","17,304,236","17,198,207","17,158,401","17,345,624","17,536,283","17,338,545"
Interest-bearing deposits,"1,860,467","1,921,613","1,964,713","2,043,037","2,086,014","2,124,432","2,162,307","2,216,165","2,394,640","2,422,642","2,465,240","2,523,786","2,541,469","2,557,978","2,587,454","2,658,460","2,722,063","2,750,867","2,793,229","2,834,170","2,785,392","2,772,948","2,795,330","2,826,880","2,798,154","2,809,290","2,829,655","2,846,326","2,835,553","2,804,986","2,805,946","2,797,918","2,781,541","2,733,476","2,691,942","2,685,640","2,653,745","2,619,994","2,608,516","2,615,341","2,608,672","2,589,505","2,587,632","2,597,589","2,626,516","2,640,190","2,657,027","2,693,159","2,722,534","2,712,988","2,733,662","2,777,872","2,800,877","2,816,629","2,863,267","2,911,027","2,967,309","2,955,713","2,979,515","3,076,552","3,079,916","3,064,280","3,101,438","3,165,893","3,227,808","3,270,897","3,332,643","3,437,094","3,533,743","3,565,476","3,606,681","3,665,102","3,738,599","3,764,699","3,863,154","3,941,743","4,050,093","4,119,293","4,159,056","4,193,137","4,304,012","4,376,638","4,481,930","4,588,746","4,681,576","4,732,550","4,874,647","5,003,984","5,142,584","5,233,438","5,313,390","5,414,082","5,521,346","5,513,481","5,608,802","5,718,346","5,861,123","5,801,582","5,819,170","6,066,710","6,096,078","6,079,979","6,090,337","6,144,031","6,166,416","6,121,050","6,130,328","6,183,750","6,244,310","6,313,407","6,412,104","6,492,757","6,593,527","6,616,101","6,668,170","6,905,853","6,983,745","6,940,201","7,043,085","7,179,560","7,264,754","7,288,571","7,366,806","7,518,237","7,642,537","7,606,260","7,692,206","7,907,962","8,124,817","8,178,897","8,318,504","8,497,208","8,615,056","8,535,918","8,677,499","8,831,775","9,007,948","9,021,544","9,180,590","9,478,043","9,650,222","9,675,808","9,842,705","10,059,551","10,698,956","11,274,254","11,287,706","11,683,198","11,956,208","12,001,194","12,268,911","12,673,384","12,863,167","12,672,590","12,697,528","12,897,769","12,790,565","12,963,265","13,084,043","13,363,001","13,587,874","13,465,107"
Noninterest-bearing deposits,"363,956","379,300","364,125","421,536","371,462","400,009","424,541","460,092","430,845","461,751","438,972","525,642","453,219","463,571","441,952","469,868","431,125","455,636","444,025","473,862","433,267","464,825","452,121","492,520","445,738","460,890","452,018","497,621","427,684","454,615","475,202","491,843","483,989","496,920","501,132","554,650","498,309","536,232","545,899","583,177","558,764","556,001","550,314","582,116","538,307","572,178","567,195","622,229","583,556","614,077","641,493","673,610","643,762","677,661","641,045","688,578","679,513","704,604","669,007","737,674","681,851","721,609","701,028","716,557","722,924","733,552","722,281","771,000","743,571","772,463","795,617","894,809","830,112","848,331","915,840","968,721","975,700","1,052,512","1,005,330","1,026,038","1,049,723","1,085,887","1,081,903","1,129,924","1,145,653","1,193,336","1,191,654","1,216,678","1,188,357","1,203,281","1,160,729","1,217,094","1,173,746","1,178,530","1,131,015","1,194,446","1,207,845","1,227,575","1,396,135","1,423,175","1,442,912","1,475,234","1,462,958","1,552,793","1,526,092","1,546,814","1,607,915","1,689,498","1,747,051","1,912,427","2,093,363","2,265,255","2,232,331","2,297,791","2,392,180","2,541,269","2,443,035","2,455,456","2,557,865","2,611,549","2,657,412","2,770,225","2,806,019","2,852,321","2,938,195","2,983,439","2,959,692","2,999,989","2,983,418","3,025,115","3,144,091","3,151,712","3,197,705","3,244,699","3,242,316","3,249,682","3,248,933","3,213,859","3,141,202","3,134,843","3,034,688","3,071,806","3,138,351","3,161,050","3,608,535","4,245,589","4,384,058","4,606,541","4,979,677","5,162,912","5,365,297","5,516,235","5,517,936","5,404,666","5,194,087","4,827,798","4,513,671","4,234,942","4,074,358","3,982,623","3,948,409","3,873,439"
      Estimated insured deposits,"681,220","1,981,603","2,002,240","2,023,598","2,040,621","2,162,287","2,173,678","2,180,693","2,196,721","2,335,401","2,339,479","2,339,507","2,339,093","2,433,930","2,438,788","2,453,802","2,480,817","2,577,068","2,564,017","2,556,546","2,473,522","2,604,382","2,597,975","2,571,050","2,547,276","2,652,821","2,649,854","2,629,478","2,679,498","2,681,467","2,699,511","2,694,847","2,692,356","2,658,831","2,623,227","2,644,698","2,602,682","2,577,408","2,569,388","2,582,913","2,573,793","2,568,598","2,571,266","2,585,499","2,601,888","2,621,891","2,626,726","2,661,994","2,673,179","2,669,462","2,667,916","2,688,872","2,711,024","2,711,394","2,710,344","2,745,165","2,775,773","2,768,601","2,763,822","2,848,860","2,829,439","2,831,866","2,838,794","2,867,910","2,918,109","2,975,919","3,007,150","3,053,672","3,138,500","3,152,297","3,180,492","3,214,407","3,305,280","3,306,357","3,342,624","3,382,378","3,412,802","3,437,210","3,413,188","3,451,643","3,498,604","3,530,840","3,558,539","3,621,118","3,687,473","3,756,759","3,829,913","3,889,893","4,000,770","4,039,115","4,093,062","4,147,434","4,239,792","4,229,364","4,236,034","4,286,095","4,433,249","4,463,314","4,534,520","4,738,998","4,825,542","4,812,609","5,309,241","5,400,471","5,463,464","5,425,354","5,408,441","6,287,975","6,364,647","6,505,064","6,733,783","6,950,565","7,009,595","7,058,989","7,226,436","7,378,060","5,969,966","5,919,676","5,932,278","5,968,736","6,078,379","6,067,688","6,095,150","6,166,659","6,305,424","6,304,669","6,376,910","6,489,893","6,631,313","6,645,426","6,783,437","6,881,091","7,041,983","7,007,512","7,061,656","7,115,577","7,296,965","7,320,591","7,342,981","7,477,158","7,655,307","7,649,399","7,694,947","7,773,919","8,122,431","8,778,622","8,861,564","9,063,051","9,458,321","9,437,948","9,709,803","9,866,804","10,107,901","10,044,301","10,137,479","10,223,410","10,427,353","10,520,751","10,519,743","10,571,544","10,691,670","10,595,684"
Time deposits,"1,242,574","1,306,506","1,370,983","1,407,295","1,413,727","1,427,994","1,443,518","1,470,308","1,495,136","1,481,060","1,481,717","1,468,073","1,464,598","1,488,839","1,532,546","1,601,819","1,652,078","1,675,666","1,732,983","1,767,537","1,765,947","1,805,635","1,816,157","1,810,784","1,772,567","1,786,709","1,803,288","1,798,307","1,763,864","1,706,710","1,679,960","1,613,052","1,534,807","1,467,776","1,404,154","1,337,713","1,287,128","1,260,218","1,236,837","1,219,263","1,205,898","1,212,332","1,238,598","1,276,142","1,354,267","1,389,343","1,404,187","1,410,383","1,434,888","1,442,498","1,467,951","1,481,856","1,494,336","1,516,403","1,549,451","1,556,872","1,576,481","1,557,533","1,555,918","1,570,185","1,555,152","1,546,840","1,576,411","1,619,610","1,654,226","1,708,930","1,749,967","1,784,102","1,787,971","1,776,643","1,752,551","1,685,937","1,670,038","1,654,085","1,673,361","1,659,350","1,660,775","1,650,948","1,632,337","1,601,076","1,610,002","1,636,654","1,693,071","1,759,464","1,850,255","1,942,630","2,045,461","2,129,788","2,213,506","2,335,097","2,424,501","2,454,206","2,470,988","2,462,605","2,544,843","2,598,897","2,624,289","2,573,648","2,767,816","2,818,684","2,751,384","2,641,978","2,505,137","2,364,766","2,248,675","2,165,325","2,092,148","1,978,336","1,925,590","1,884,336","1,848,223","1,821,691","1,791,464","1,805,207","1,760,376","1,727,810","1,683,681","1,671,962","1,649,193","1,635,270","1,614,474","1,632,902","1,602,189","1,707,841","1,680,858","1,673,622","1,652,881","1,664,812","1,696,059","1,710,054","1,651,419","1,638,218","1,643,909","1,646,198","1,679,115","1,700,597","1,727,827","1,805,443","1,891,927","1,970,843","2,084,497","2,087,781","2,086,481","2,042,104","2,034,885","1,851,288","1,652,648","1,522,514","1,421,846","1,344,198","1,302,560","1,271,438","1,246,782","1,322,152","1,486,596","1,708,631","2,133,081","2,439,754","2,685,279","2,869,517","2,938,551","2,980,053"
      Brokered deposits,"20,859","26,790","25,260","25,682","64,470","67,639","65,963","68,756","68,344","68,725","72,580","77,488","78,270","85,052","93,422","106,226","108,820","115,457","127,231","135,964","137,389","138,087","130,370","127,300","113,011","113,895","108,011","108,724","96,792","89,935","82,775","76,409","68,878","65,149","59,351","57,931","54,869","51,755","49,261","48,016","45,499","45,586","49,179","55,755","59,077","56,650","55,426","55,773","55,495","58,942","57,515","58,265","61,135","68,479","69,991","68,463","70,261","71,404","72,140","77,713","78,384","83,600","103,433","120,327","133,598","168,327","194,554","219,817","243,725","253,076","255,703","261,166","268,857","264,492","277,751","284,614","307,371","293,494","321,220","329,224","344,243","373,597","403,430","422,626","381,948","397,066","430,931","481,826","490,187","533,309","534,219","523,364","513,132","498,100","510,752","574,440","602,761","644,415","662,210","766,076","774,827","762,310","666,736","655,246","651,906","632,813","618,903","625,374","619,456","615,167","620,872","634,156","640,713","653,458","666,784","703,371","705,592","724,949","739,934","764,601","760,128","778,362","791,029","840,138","843,497","844,413","879,075","936,134","816,184","831,337","844,761","894,208","896,478","904,976","936,214","970,860","984,686","975,136","989,072","1,074,324","1,089,576","1,096,496","1,107,644","1,105,961","1,210,152","1,194,466","1,148,644","1,137,161","1,099,914","750,377","669,977","602,826","595,889","649,308","755,675","896,284","1,031,008","1,207,577","1,297,116","1,350,489","1,339,241","1,329,122"
  Federal funds purchased & repurchase agreements,"222,016","226,098","235,381","240,735","238,022","236,822","251,113","273,536","280,035","286,713","295,691","316,359","318,192","318,235","329,820","332,372","341,684","341,863","356,052","345,824","366,490","364,951","350,625","339,022","338,878","328,883","322,003","292,290","279,730","272,668","274,121","256,889","273,246","254,738","275,047","278,961","298,787","289,509","312,074","308,436","327,067","337,320","352,578","365,318","373,757","380,723","396,017","381,795","374,254","371,287","372,268","370,206","446,432","438,014","467,641","466,768","481,294","448,447","477,655","499,348","520,886","522,578","508,921","527,387","563,616","563,905","557,416","553,278","585,329","592,951","616,577","588,498","611,165","605,346","619,727","642,327","664,997","704,932","641,288","619,274","669,803","695,882","729,201","675,593","698,567","727,018","763,570","760,957","797,046","849,099","907,504","800,540","836,886","853,139","822,151","834,878","877,568","891,444","935,870","881,612","850,067","811,856","788,821","604,743","625,279","596,931","613,812","575,901","537,194","512,524","509,000","473,198","478,718","513,227","495,219","455,783","434,381","445,410","411,182","364,636","390,464","370,955","345,925","318,040","316,825","312,593","288,380","268,760","277,162","263,667","260,832","233,671","249,772","251,617","261,239","258,755","257,350","252,223","249,679","240,322","264,796","253,780","267,774","232,604","285,256","289,150","290,881","267,152","297,790","247,949","264,354","260,277","279,318","301,680","309,533","273,363","411,210","373,723","380,119","326,921","374,377","451,841"
  FHLB advances,"56,124","64,065","70,957","72,403","72,515","77,164","82,846","85,810","83,951","90,807","94,021","102,420","99,658","106,284","110,351","121,014","117,862","122,623","128,556","139,399","137,138","133,797","127,394","116,796","102,961","98,715","94,136","93,516","85,011","74,813","68,495","66,483","64,313","64,169","62,896","64,058","68,235","71,448","74,956","76,035","75,190","79,256","83,362","88,861","83,537","79,350","80,374","85,143","85,917","92,543","98,805","103,606","97,561","105,665","106,762","118,620","116,690","118,545","125,674","143,096","152,219","164,380","174,600","189,894","193,059","204,235","204,248","223,280","438,223","438,673","447,160","452,527","442,650","442,057","452,532","450,587","449,277","454,972","464,696","479,735","496,908","534,878","531,224","541,857","546,084","585,377","591,635","598,343","598,302","622,592","632,586","620,914","607,579","608,457","770,419","808,944","841,585","840,543","903,764","790,035","703,715","634,642","575,700","533,218","480,360","445,429","402,404","386,521","358,087","341,208","323,421","327,527","305,832","325,850","318,120","333,842","330,183","369,402","373,052","406,163","392,000","437,480","443,157","464,279","433,048","473,738","455,479","495,040","481,204","545,673","541,825","563,263","522,554","565,704","575,406","582,547","553,988","583,973","553,364","573,395","521,064","537,285","498,766","482,460","612,677","378,493","304,509","255,985","231,323","207,582","190,103","188,537","203,679","325,742","444,788","587,575","804,443","658,595","602,580","584,314","542,381","549,699"
  Other borrowed money,"68,759","74,686","77,420","79,095","80,096","79,463","98,869","107,790","114,191","118,043","122,813","132,610","147,750","153,027","164,733","171,889","184,285","186,394","196,436","205,286","209,766","211,233","207,494","197,550","199,128","182,083","180,586","165,130","159,811","154,498","157,351","150,627","153,887","160,556","165,283","157,787","171,353","181,588","197,340","214,619","206,613","220,205","244,372","272,276","288,513","299,151","319,592","331,396","328,741","353,267","368,847","384,977","340,366","373,507","370,824","380,769","399,497","427,110","452,543","467,672","487,107","497,905","530,839","562,997","573,984","605,842","619,701","614,653","414,457","405,773","394,785","395,728","360,482","401,269","419,763","398,451","397,716","419,111","474,929","543,935","544,394","603,082","608,212","572,460","581,560","582,401","594,563","587,842","593,332","616,901","623,880","577,795","590,921","657,654","713,110","735,721","734,418","748,390","759,674","800,956","785,622","636,406","538,198","557,302","853,419","778,974","754,161","664,043","637,193","642,809","556,524","536,684","511,795","465,903","468,528","462,777","456,609","435,504","443,685","448,145","469,928","486,349","512,129","521,223","530,927","562,551","557,328","541,419","532,838","552,984","549,565","523,990","536,745","524,741","532,387","549,613","549,431","550,497","565,192","554,804","608,187","606,865","604,921","587,418","551,575","539,101","522,589","470,888","454,550","436,115","418,332","400,217","347,802","350,440","360,267","369,593","540,544","561,158","620,827","684,683","718,350","724,991"
  Banks liability on acceptances,"63,601","69,367","63,684","62,059","59,601","55,797","53,990","50,782","46,959","44,767","42,540","40,441","40,977","37,837","35,627","37,726","34,304","33,026","33,458","33,193","31,177","29,858","28,464","27,250","25,829","23,915","24,806","21,926","19,270","16,907","17,196","16,521","15,839","15,454","16,446","16,188","14,639","13,892","14,477","13,423","13,746","13,535","13,775","13,504","15,764","15,635","16,750","16,237","17,043","18,050","19,578","18,297","19,133","19,211","18,913","17,331","15,237","13,756","13,782","11,806","10,747","9,799","8,855","9,040","9,532","10,087","9,377","8,170","8,291","7,588","6,076","5,816","5,584","5,846","5,870","5,788","5,673","5,912","5,860","6,024","5,394","6,289","5,795","5,523","5,750","5,337","5,723","5,351", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
